﻿觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2018-08-01,1000.8,1002.5,2018-08-01 07:57:00,998.4,2018-08-01 16:44:00,30.1,34.2,2018-08-01 14:22:00,27.4,2018-08-01 04:57:00,77.0,54.0,2018-08-01 14:25:00,2.7,172.0,7.9,219.0,2018-08-01 13:57:00,0.0,,,,,,,,
2018-08-02,1000.3,1002.3,2018-08-02 09:59:00,998.2,2018-08-02 16:30:00,29.0,33.1,2018-08-02 14:02:00,25.7,2018-08-02 10:38:00,83.0,59.0,2018-08-02 13:44:00,2.4,175.0,8.0,212.0,2018-08-02 15:23:00,15.0,,,,,,,,
2018-08-03,1000.6,1002.1,2018-08-03 23:16:00,998.9,2018-08-03 02:34:00,28.4,32.1,2018-08-03 11:40:00,24.9,2018-08-03 12:16:00,82.0,65.0,2018-08-03 11:22:00,3.0,172.0,11.8,178.0,2018-08-03 11:53:00,7.5,,,,,,,,
2018-08-04,1001.9,1003.7,2018-08-04 23:08:00,1000.0,2018-08-04 15:31:00,29.0,33.0,2018-08-04 10:38:00,26.1,2018-08-04 05:41:00,76.0,63.0,2018-08-04 10:00:00,1.3,179.0,7.5,161.0,2018-08-04 17:53:00,0.0,,,,,,,,
2018-08-05,1002.7,1003.9,2018-08-05 23:19:00,1000.7,2018-08-05 14:32:00,28.7,33.9,2018-08-05 11:10:00,25.9,2018-08-05 05:48:00,74.0,57.0,2018-08-05 10:26:00,1.4,104.0,8.5,309.0,2018-08-05 14:30:00,0.0,,,,,,,,
2018-08-06,1001.9,1003.7,2018-08-06 00:01:00,999.3,2018-08-06 15:52:00,29.0,32.2,2018-08-06 14:07:00,26.0,2018-08-06 03:12:00,76.0,65.0,2018-08-06 11:05:00,2.2,180.0,8.7,346.0,2018-08-06 14:28:00,0.0,,,,,,,,
2018-08-07,1000.9,1002.4,2018-08-07 06:40:00,998.5,2018-08-07 17:20:00,29.5,32.9,2018-08-07 10:22:00,26.6,2018-08-07 03:34:00,77.0,61.0,2018-08-07 10:25:00,1.9,316.0,6.6,293.0,2018-08-07 14:04:00,0.5,,,,,,,,
2018-08-08,1001.2,1002.7,2018-08-08 23:02:00,999.4,2018-08-08 17:11:00,29.7,33.6,2018-08-08 12:10:00,27.2,2018-08-08 05:41:00,75.0,51.0,2018-08-08 12:09:00,2.2,174.0,6.5,315.0,2018-08-08 15:17:00,0.0,,,,,,,,
2018-08-09,1001.7,1002.8,2018-08-09 09:38:00,999.8,2018-08-09 16:18:00,29.3,32.8,2018-08-09 14:24:00,26.7,2018-08-09 04:50:00,74.0,56.0,2018-08-09 13:48:00,1.8,182.0,7.6,302.0,2018-08-09 14:30:00,0.0,,,,,,,,
2018-08-10,1000.4,1002.4,2018-08-10 00:07:00,998.0,2018-08-10 16:40:00,29.6,32.7,2018-08-10 11:06:00,26.9,2018-08-10 05:52:00,73.0,58.0,2018-08-10 11:06:00,1.7,174.0,7.2,310.0,2018-08-10 14:32:00,0.0,,,,,,,,
2018-08-11,997.2,1000.1,2018-08-11 00:01:00,994.8,2018-08-11 17:07:00,29.3,32.6,2018-08-11 13:40:00,26.4,2018-08-11 04:58:00,74.0,46.0,2018-08-11 14:54:00,1.8,330.0,6.7,328.0,2018-08-11 15:03:00,0.0,,,,,,,,
2018-08-12,993.8,995.6,2018-08-12 00:21:00,991.0,2018-08-12 16:15:00,29.2,32.9,2018-08-12 11:39:00,26.7,2018-08-12 05:44:00,77.0,63.0,2018-08-12 12:06:00,1.9,168.0,6.5,305.0,2018-08-12 13:26:00,0.0,,,,,,,,
2018-08-13,995.4,997.4,2018-08-13 23:20:00,993.9,2018-08-13 01:47:00,28.8,34.0,2018-08-13 13:48:00,25.9,2018-08-13 15:36:00,78.0,57.0,2018-08-13 13:38:00,2.4,161.0,8.6,191.0,2018-08-13 14:45:00,4.5,,,,,,,,
2018-08-14,996.5,998.3,2018-08-14 22:06:00,994.4,2018-08-14 14:03:00,27.4,33.7,2018-08-14 12:58:00,24.4,2018-08-14 15:59:00,84.0,56.0,2018-08-14 12:57:00,1.6,157.0,8.4,265.0,2018-08-14 13:51:00,136.5,,,,,,,,
2018-08-15,998.4,999.8,2018-08-15 23:07:00,997.0,2018-08-15 01:37:00,27.7,30.1,2018-08-15 13:42:00,25.3,2018-08-15 00:51:00,83.0,68.0,2018-08-15 15:38:00,3.0,180.0,10.5,165.0,2018-08-15 10:52:00,0.0,,,,,,,,
2018-08-16,998.0,999.5,2018-08-16 00:02:00,996.0,2018-08-16 16:29:00,28.8,32.9,2018-08-16 13:50:00,26.2,2018-08-16 05:51:00,80.0,59.0,2018-08-16 13:51:00,2.2,177.0,7.0,222.0,2018-08-16 16:59:00,0.0,,,,,,,,
2018-08-17,997.1,999.0,2018-08-17 22:21:00,995.3,2018-08-17 15:50:00,29.0,32.1,2018-08-17 13:17:00,25.0,2018-08-17 05:55:00,78.0,64.0,2018-08-17 13:22:00,2.9,166.0,9.4,184.0,2018-08-17 15:44:00,0.5,,,,,,,,
2018-08-18,999.1,1000.6,2018-08-18 22:50:00,998.0,2018-08-18 15:43:00,27.4,31.1,2018-08-18 09:30:00,24.9,2018-08-18 11:25:00,87.0,68.0,2018-08-18 09:27:00,1.5,170.0,6.7,206.0,2018-08-18 12:08:00,15.0,,,,,,,,
2018-08-19,1000.5,1002.3,2018-08-19 22:09:00,998.9,2018-08-19 14:24:00,27.6,31.4,2018-08-19 12:23:00,25.7,2018-08-19 23:07:00,86.0,65.0,2018-08-19 12:24:00,1.9,178.0,10.6,176.0,2018-08-19 14:27:00,5.5,,,,,,,,
2018-08-20,999.7,1001.2,2018-08-20 00:01:00,997.9,2018-08-20 14:44:00,27.2,32.4,2018-08-20 15:28:00,24.2,2018-08-20 18:15:00,86.0,63.0,2018-08-20 15:29:00,1.0,52.0,8.9,128.0,2018-08-20 16:39:00,36.5,,,,,,,,
2018-08-21,997.2,999.0,2018-08-21 00:02:00,994.8,2018-08-21 15:30:00,27.8,33.1,2018-08-21 13:14:00,24.7,2018-08-21 05:29:00,84.0,62.0,2018-08-21 12:16:00,1.1,34.0,6.5,236.0,2018-08-21 15:49:00,3.5,,,,,,,,
