﻿觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2018-09-01,986.3,988.6,2018-09-01 00:38:00,984.2,2018-09-01 15:57:00,25.8,31.7,2018-09-01 13:33:00,23.2,2018-09-01 19:16:00,85.0,60.0,2018-09-01 13:33:00,0.5,10.0,4.6,32.0,2018-09-01 17:48:00,23.5,,,,,,,,
2018-09-02,983.3,985.7,2018-09-02 00:31:00,981.5,2018-09-02 15:57:00,26.4,31.2,2018-09-02 11:12:00,22.2,2018-09-02 05:47:00,80.0,60.0,2018-09-02 10:46:00,0.8,165.0,5.1,41.0,2018-09-02 13:48:00,0.5,,,,,,,,
2018-09-03,981.2,983.0,2018-09-03 00:20:00,979.5,2018-09-03 17:33:00,27.2,32.6,2018-09-03 12:43:00,22.8,2018-09-03 02:18:00,74.0,49.0,2018-09-03 11:40:00,2.5,180.0,8.1,165.0,2018-09-03 22:41:00,0.0,,,,,,,,
2018-09-04,980.2,981.8,2018-09-04 22:10:00,978.0,2018-09-04 14:47:00,28.3,35.0,2018-09-04 14:34:00,24.9,2018-09-04 04:20:00,73.0,47.0,2018-09-04 13:34:00,2.2,183.0,11.5,191.0,2018-09-04 08:46:00,0.0,,,,,,,,
2018-09-05,981.7,983.2,2018-09-05 22:27:00,980.1,2018-09-05 17:15:00,26.6,31.7,2018-09-05 09:53:00,24.1,2018-09-05 23:00:00,87.0,66.0,2018-09-05 09:02:00,0.4,3.0,8.7,187.0,2018-09-05 12:20:00,13.5,,,,,,,,
2018-09-06,981.9,983.2,2018-09-06 22:43:00,980.1,2018-09-06 15:58:00,25.9,31.1,2018-09-06 12:35:00,23.1,2018-09-06 05:56:00,88.0,66.0,2018-09-06 12:12:00,0.6,191.0,4.9,216.0,2018-09-06 12:46:00,30.5,,,,,,,,
2018-09-07,982.5,984.5,2018-09-07 22:16:00,980.9,2018-09-07 16:17:00,25.5,31.2,2018-09-07 11:22:00,23.4,2018-09-07 06:10:00,89.0,62.0,2018-09-07 11:05:00,0.7,163.0,6.3,37.0,2018-09-07 12:12:00,4.5,,,,,,,,
2018-09-08,984.0,985.4,2018-09-08 09:48:00,982.7,2018-09-08 14:46:00,25.0,29.2,2018-09-08 08:37:00,22.7,2018-09-08 06:01:00,89.0,68.0,2018-09-08 08:37:00,1.3,3.0,8.0,6.0,2018-09-08 18:50:00,2.5,,,,,,,,
2018-09-09,985.3,987.4,2018-09-09 22:16:00,983.8,2018-09-09 15:03:00,23.3,25.5,2018-09-09 10:51:00,22.2,2018-09-09 06:10:00,88.0,80.0,2018-09-09 21:23:00,3.1,2.0,13.6,14.0,2018-09-09 15:30:00,0.5,,,,,,,,
2018-09-10,984.2,987.1,2018-09-10 00:09:00,982.1,2018-09-10 23:55:00,24.6,28.5,2018-09-10 12:41:00,20.0,2018-09-10 06:10:00,81.0,65.0,2018-09-10 10:19:00,2.2,4.0,11.2,10.0,2018-09-10 10:35:00,0.0,,,,,,,,
2018-09-11,983.5,985.6,2018-09-11 23:07:00,980.9,2018-09-11 02:52:00,26.4,31.7,2018-09-11 11:14:00,22.1,2018-09-11 04:20:00,83.0,57.0,2018-09-11 11:15:00,0.8,2.0,6.8,186.0,2018-09-11 15:03:00,0.0,,,,,,,,
2018-09-12,985.1,986.4,2018-09-12 07:13:00,983.5,2018-09-12 17:06:00,26.0,29.8,2018-09-12 09:04:00,23.4,2018-09-12 06:01:00,87.0,69.0,2018-09-12 09:05:00,0.8,357.0,5.3,359.0,2018-09-12 11:41:00,0.0,,,,,,,,
2018-09-13,984.7,985.9,2018-09-13 10:05:00,983.7,2018-09-13 17:24:00,26.7,30.6,2018-09-13 11:21:00,23.5,2018-09-13 06:01:00,84.0,65.0,2018-09-13 11:19:00,0.8,185.0,5.4,34.0,2018-09-13 13:45:00,0.0,,,,,,,,
2018-09-14,982.6,985.0,2018-09-14 09:00:00,979.9,2018-09-14 16:14:00,26.5,34.1,2018-09-14 15:13:00,22.1,2018-09-14 06:01:00,80.0,50.0,2018-09-14 15:34:00,0.6,173.0,3.9,50.0,2018-09-14 12:49:00,0.0,,,,,,,,
2018-09-15,976.9,980.7,2018-09-15 00:07:00,974.4,2018-09-15 16:05:00,23.8,27.2,2018-09-15 10:02:00,21.1,2018-09-15 05:51:00,86.0,76.0,2018-09-15 21:33:00,0.6,156.0,4.5,260.0,2018-09-15 12:39:00,0.0,,,,,,,,
2018-09-16,982.7,987.3,2018-09-16 23:59:00,976.5,2018-09-16 00:33:00,25.5,31.8,2018-09-16 11:05:00,21.8,2018-09-16 06:00:00,84.0,54.0,2018-09-16 11:07:00,0.5,156.0,4.1,39.0,2018-09-16 11:15:00,0.5,,,,,,,,
2018-09-17,988.2,991.6,2018-09-17 23:44:00,986.2,2018-09-17 14:25:00,27.8,34.2,2018-09-17 12:39:00,22.6,2018-09-17 06:00:00,77.0,49.0,2018-09-17 12:33:00,1.4,6.0,8.5,38.0,2018-09-17 10:28:00,0.0,,,,,,,,
2018-09-18,989.3,991.5,2018-09-18 00:06:00,986.8,2018-09-18 17:04:00,26.4,29.8,2018-09-18 13:26:00,23.9,2018-09-18 23:56:00,87.0,72.0,2018-09-18 08:56:00,0.5,3.0,4.9,340.0,2018-09-18 12:40:00,0.5,,,,,,,,
2018-09-19,987.8,989.2,2018-09-19 08:01:00,986.2,2018-09-19 16:05:00,25.5,28.9,2018-09-19 11:15:00,22.6,2018-09-19 04:25:00,87.0,70.0,2018-09-19 08:06:00,0.8,181.0,5.3,6.0,2018-09-19 12:04:00,0.0,,,,,,,,
2018-09-20,986.2,987.4,2018-09-20 22:03:00,984.9,2018-09-20 15:10:00,26.1,30.6,2018-09-20 11:09:00,22.4,2018-09-20 05:12:00,83.0,64.0,2018-09-20 09:40:00,0.8,13.0,6.4,193.0,2018-09-20 08:28:00,0.0,,,,,,,,
